Brand,Make,Year,Mileage,Engine_Size,Transmission,Seats,Body_Type,Colour,Drive_Type,Registration,Previous_Owners,Keys,Emissions,ULEZ_Exempt,Top_speed,Accelaration_0_62,Power,Tax,Insurance,Mpg,Service_record,Price
Kia,Picanto,2015,54990,1.0,Manual,5,3 door Hatchback,White,Front wheel drive,NV65 AZJ,2,1,105g/km (band B),1,98,14.4,66.0,£20 / year,2,62.8,6,5700
Dacia,Sandero,2016,24138,0.9,Manual,5,5 door Hatchback,Chestnut,Front wheel drive,SJ16 VWX,3,2,109g/km (band B),1,109,11.1,89.0,Not available,8,57.7,0,6250
Ford,Ka,2015,30571,1.2,Manual,4,3 door Hatchback,Black,Front wheel drive,EO65 UXD,3,2,115g/km (band C),1,99,13.4,68.0,Not available,3,57.7,3,6300
Fiat,Punto,2016,38799,1.2,Manual,5,5 door Hatchback,Ambient White,Front wheel drive,FY66 BPF,4,1,124g/km (band D),1,97,14.4,69.0,Not available,8,53.3,5,6400
Volkswagen,up!,2016,58887,1.0,Manual,4,3 door Hatchback,Yellow,Front wheel drive,FC16 ZFX,2,2,105g/km (band B),1,99,14.4,59.0,Not available,2,62.8,7,6450
Nissan,Juke,2015,59395,1.2,Manual,5,5 door SUV,Red,Front wheel drive,DP65 EHF,2,2,128g/km (band D),1,111,10.8,113.0,£135 / year,1,49.6,2,6650
Fiat,500,2015,41186,1.2,Manual,4,3 door Hatchback,Bossa Nova White,Front wheel drive,EU65 UCG,2,2,110g/km (band B),1,99,12.9,69.0,Not available,6,60.1,0,6650
Dacia,Sandero,2017,33468,0.9,Manual,5,5 door Hatchback,Cinder Red,Front wheel drive,FJ17 WYP,1,2,109g/km (band F),1,109,11.1,89.0,Not available,9,57.7,3,6800
Kia,Picanto,2015,18046,1.0,Manual,5,3 door Hatchback,White,Front wheel drive,DF65 PPU,2,2,105g/km (band B),1,98,14.4,66.0,Not available,2,62.8,6,6800
Vauxhall,Viva,2015,20887,1.0,Manual,5,5 door Hatchback,Blue,Front wheel drive,FD65 LDJ,1,2,104g/km (band B),1,106,13.1,74.0,£20 / year,4,62.8,3,6800
Vauxhall,Zafira,2014,44236,1.8,Manual,7,5 door MPV,Black,Front wheel drive,PJ14 UGT,5,2,168g/km (band H),1,122,11.5,138.0,£265 / year,1,39.2,3,6800
Dacia,Sandero,2018,20414,1.0,Manual,5,5 door Hatchback,Glacier White,Front wheel drive,WG68 DOJ,1,2,117g/km (band G),1,98,15.2,74.0,£165 / year,5,48.7,0,6850
Fiat,500,2016,23086,1.2,Manual,4,3 door Hatchback,Bossa Nova White,Front wheel drive,PF16 LKP,1,2,110g/km (band B),1,99,12.9,69.0,£20 / year,7,60.1,5,6900
Kia,Picanto,2015,25801,1.0,Manual,5,5 door Hatchback,Black,Front wheel drive,LF65 FHL,3,2,95g/km (band A),1,95,14.4,68.0,Not available,2,68.9,6,6900
Fiat,500,2016,31113,1.2,Manual,4,3 door Hatchback,Bossa Nova White,Front wheel drive,BT16 PCZ,1,2,110g/km (band B),1,99,12.9,69.0,Not available,7,60.1,2,6950
Kia,Picanto,2016,29554,1.0,Manual,5,5 door Hatchback,Purple,Front wheel drive,MD16 ZFY,3,2,105g/km (band B),1,98,14.4,66.0,Not available,2,62.8,4,7050
Hyundai,i10,2016,32932,1.0,Manual,5,5 door Hatchback,Silver,Front wheel drive,WG66 UEO,2,2,108g/km (band B),1,96,14.9,65.0,Not available,1,60.1,6,7200
